|LEVEL|NAME|EMPID|TYPE|
|7|BIS_CREDIT_CONDITION_PH01A_CD_D5PF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT\\CONDITION|JOB|
|7|BIS_CREDIT_OFFICER_PH01A_SCEU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01A_EXTRACT\\CREDIT_OFFICER|JOB|
|6|AUTHORIZATION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|CONDITION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|CREDIT|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|CREDIT_OFFICER|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|DELINQUENCY|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|PROVISION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|RESTRUCTION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|FOLDER|
|6|A_BIS_CREDIT_FULL_PH01B_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|6|BIS_CREDIT_DELINQUENCY_FULL_PH01B_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|6|BIS_CREDIT_FULL_PH01B_CREDIT_OFFICER_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|6|BIS_CREDIT_FULL_PH01B_CREDIT_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|6|BIS_CREDIT_FULL_PH01B_PROVISION_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|6|BIS_CREDIT_FULL_PH01B_RESTRUCTION_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01B_AC22LF_UREPTPFFUL_YDDTRNPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01B_CREDIT_AUTH_PREPARE_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_CONDITION_PH01B_CD_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CONDITION|JOB|
|7|BIS_CREDIT_PH01B_D9PF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_PTSPF_YDDOPPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_RTAACA_RTAACODE_NEPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_SDAD_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_SPRU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_SPTU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_SPTU_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_CL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_ASRVSC10_NBAPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
